"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"	"qvalue"
"NDEL1"	0.00209655116572579	0.794153701065903	0.137	0.013	1	"3"	"NDEL1"	0.212250577018728
"VWA1"	0.00214561747072397	0.906534057126311	0.275	0.082	1	"3"	"VWA1"	0.212250577018728
"PIM1"	0.00215580711653034	1.09520501021687	0.137	0.013	1	"3"	"PIM1"	0.212250577018728
"GM5921"	0.0022039588680831	0.735211857506815	0.118	0.006	1	"3"	"GM5921"	0.212250577018728
"BCL2A1B"	0.00220939824440541	0.862266653852862	0.314	0.101	1	"3"	"BCL2A1B"	0.212250577018728
"PPFIBP2"	0.00223690232918999	0.92323368984023	0.118	0.006	1	"3"	"PPFIBP2"	0.213314813604883
"NOTCH1"	0.00227353952583017	0.948916859470624	0.118	0.006	1	"3"	"NOTCH1"	0.214410912534404
"GM8864"	0.00232579797633402	0.948820537671505	0.118	0.006	1	"3"	"GM8864"	0.215654129034588
"CRYL1"	0.00234437538486229	1.2605020742144	0.118	0.006	1	"3"	"CRYL1"	0.215654129034588
"GM12346"	0.0023576645075178	1.04663678511323	0.353	0.132	1	"3"	"GM12346"	0.215654129034588
"GM12165"	0.00247209094844102	0.875426512919976	0.176	0.031	1	"3"	"GM12165"	0.223085469078778
"NFKBID"	0.00253746414100705	0.580341293865673	0.216	0.05	1	"3"	"NFKBID"	0.227458285599872
"MARCKSL1"	0.00268195851660255	0.892718309072014	0.137	0.019	1	"3"	"MARCKSL1"	0.237247461935776
"CARMIL1"	0.00272308512610768	0.304212600537539	0.059	0	1	"3"	"CARMIL1"	0.23733819219715
"ZFP36"	0.00275686109423371	0.29731924084179	0.745	0.478	1	"3"	"ZFP36"	0.237620219699144
"GM2367"	0.00313784148469353	0.876244271073593	0.157	0.025	1	"3"	"GM2367"	0.260440843229563
"GBP2"	0.00356680736311583	0.95371667757174	0.059	0	1	"3"	"GBP2"	0.287181388050631
"GM37050"	0.00390955275013731	0.332200612763268	0.059	0	1	"3"	"GM37050"	0.305996399061737
"GM6929"	0.00392588839694766	0.803488571310436	0.196	0.044	1	"3"	"GM6929"	0.305996399061737
"SNX15"	0.00393703532929351	0.377376951725831	0.059	0	1	"3"	"SNX15"	0.305996399061737
"GM9341"	0.00403838122867956	0.381293607895626	0.059	0	1	"3"	"GM9341"	0.31040956342862
"RP23.115A18.3"	0.00406621986394012	0.812886732800241	0.118	0.013	1	"3"	"RP23.115A18.3"	0.31040956342862
"MAFF"	0.00408615891171098	0.631408282344468	0.059	0	1	"3"	"MAFF"	0.31040956342862
"GM7287"	0.00412432915471429	0.665201297711345	0.098	0.006	1	"3"	"GM7287"	0.311549043900496
"SDC4"	0.00422570813940983	1.59833178102167	0.118	0.013	1	"3"	"SDC4"	0.316378228826344
"TMEM268"	0.00430647399212259	0.886930730187086	0.137	0.019	1	"3"	"TMEM268"	0.316378228826344
"GM7928"	0.00431112814489641	0.430574185406712	0.059	0	1	"3"	"GM7928"	0.316378228826344
"GM13456"	0.00435272165601809	0.749956004411766	0.275	0.088	1	"3"	"GM13456"	0.316378228826344
"GM4760"	0.00436706441256028	1.03150581414475	0.216	0.063	1	"3"	"GM4760"	0.316378228826344
"GM15791"	0.00439012357219101	0.449465897661478	0.059	0	1	"3"	"GM15791"	0.316378228826344
"GADD45B"	0.00455245043835845	1.3233056595228	0.118	0.013	1	"3"	"GADD45B"	0.316378228826344
"UBC"	0.00461990059643109	0.433105200982892	0.784	0.535	1	"3"	"UBC"	0.316378228826344
"TOB2"	0.00463514382057119	0.942166814169349	0.216	0.057	1	"3"	"TOB2"	0.316378228826344
"GM8880"	0.00469575673002251	0.578733087693122	0.098	0.006	1	"3"	"GM8880"	0.316378228826344
"GM7745"	0.00469977966088866	0.401400217073805	0.059	0	1	"3"	"GM7745"	0.316378228826344
"KDM6B"	0.00472008325787688	1.11729098008271	0.118	0.013	1	"3"	"KDM6B"	0.316378228826344
"SLCO4A1"	0.00484129485027979	0.547005866961969	0.059	0	1	"3"	"SLCO4A1"	0.316378228826344
"PLIN2"	0.00490251632266852	0.598036661249497	0.098	0.006	1	"3"	"PLIN2"	0.316378228826344
"TUBA1C"	0.00491468446936037	0.527112051467726	0.098	0.006	1	"3"	"TUBA1C"	0.316378228826344
"NUAK2"	0.00515187290522199	0.440420223213019	0.059	0	1	"3"	"NUAK2"	0.316378228826344
"GM4918"	0.0052097276546557	0.679546607267769	0.098	0.006	1	"3"	"GM4918"	0.316378228826344
"GM44411"	0.00522959155526748	0.441276729878497	0.059	0	1	"3"	"GM44411"	0.316378228826344
"GM9372"	0.00523662417630502	0.528534418368098	0.059	0	1	"3"	"GM9372"	0.316378228826344
"GM5711"	0.00523862955537934	0.429218338730907	0.059	0	1	"3"	"GM5711"	0.316378228826344
"RP23.314A15.8"	0.00531351770760869	0.455704367687534	0.059	0	1	"3"	"RP23.314A15.8"	0.316378228826344
"GM6060"	0.00537432260207533	0.92581401853963	0.098	0.006	1	"3"	"GM6060"	0.316378228826344
"DBT"	0.00541628272633883	0.450918428971713	0.059	0	1	"3"	"DBT"	0.316378228826344
"GM8976"	0.00541839978617257	0.761669890046871	0.059	0	1	"3"	"GM8976"	0.316378228826344
"GM44279"	0.0054345178513199	0.464288592256851	0.059	0	1	"3"	"GM44279"	0.316378228826344
"GM17150"	0.00544806326976601	0.488525716532066	0.059	0	1	"3"	"GM17150"	0.316378228826344
"GM4968"	0.00546416748686937	0.491363241371873	0.059	0	1	"3"	"GM4968"	0.316378228826344
"PPP6C"	0.00552314435566947	0.784292032351554	0.137	0.019	1	"3"	"PPP6C"	0.316378228826344
"GM42573"	0.00553670587472548	0.769312392457732	0.176	0.038	1	"3"	"GM42573"	0.316378228826344
"URM1"	0.00553792206453396	0.706045399500632	0.059	0	1	"3"	"URM1"	0.316378228826344
"GM11524"	0.00565576541750562	0.49997403322291	0.059	0	1	"3"	"GM11524"	0.316378228826344
"ABCD4"	0.00570725132418781	0.761436352538031	0.059	0	1	"3"	"ABCD4"	0.316378228826344
"GM37486"	0.00570847261504721	0.992869591259252	0.118	0.013	1	"3"	"GM37486"	0.316378228826344
"ACTG2"	0.00571338586004677	0.519570173056253	0.059	0	1	"3"	"ACTG2"	0.316378228826344
"GM6407"	0.00577220420914812	0.490532109720012	0.059	0	1	"3"	"GM6407"	0.316378228826344
"GM13492"	0.00582241437823494	0.710316533070483	0.059	0	1	"3"	"GM13492"	0.316378228826344
"GM6443"	0.00586981601106936	0.523348488254512	0.059	0	1	"3"	"GM6443"	0.316378228826344
"PSMC3IP"	0.00587311922639044	0.918161364616498	0.059	0	1	"3"	"PSMC3IP"	0.316378228826344
"ADAM9"	0.00587687918863405	0.69277081287071	0.059	0	1	"3"	"ADAM9"	0.316378228826344
"SAMD9L"	0.00588811692540975	0.65333644956958	0.059	0	1	"3"	"SAMD9L"	0.316378228826344
"GM28118"	0.00590432848623658	0.609249155985987	0.059	0	1	"3"	"GM28118"	0.316378228826344
"GM9497"	0.00590623355624564	0.604010691200172	0.059	0	1	"3"	"GM9497"	0.316378228826344
"HMGB1.PS7"	0.00591403356353903	0.544967066544896	0.059	0	1	"3"	"HMGB1.PS7"	0.316378228826344
"GM16303"	0.00593088010524252	0.641562580657525	0.059	0	1	"3"	"GM16303"	0.316378228826344
"ARNTL"	0.00593226052116354	0.529649900913179	0.059	0	1	"3"	"ARNTL"	0.316378228826344
"GM16061"	0.0059358776953279	0.591052514233168	0.059	0	1	"3"	"GM16061"	0.316378228826344
"GM4217"	0.00593822603005574	0.537287445102637	0.059	0	1	"3"	"GM4217"	0.316378228826344
"NEXN"	0.00594020789560982	0.5828916555322	0.059	0	1	"3"	"NEXN"	0.316378228826344
"GM43973"	0.00594328551734603	0.711759757953917	0.059	0	1	"3"	"GM43973"	0.316378228826344
"RP24.246F10.4"	0.00594693757400085	0.655228800495051	0.059	0	1	"3"	"RP24.246F10.4"	0.316378228826344
"SLC7A10"	0.00595052359847217	0.577863015651806	0.059	0	1	"3"	"SLC7A10"	0.316378228826344
"PGPEP1"	0.00595129832026224	0.565402151604908	0.059	0	1	"3"	"PGPEP1"	0.316378228826344
"GM11191"	0.00595199117956721	0.721093866861445	0.059	0	1	"3"	"GM11191"	0.316378228826344
"ZFP386"	0.0059527344459825	0.866274648309147	0.059	0	1	"3"	"ZFP386"	0.316378228826344
"TFAM"	0.00595297425948721	0.760014922295438	0.059	0	1	"3"	"TFAM"	0.316378228826344
"GM9234"	0.00602440943626959	0.790937377222251	0.098	0.006	1	"3"	"GM9234"	0.316969322690265
"GPR84"	0.00603481679374594	1.31460628988583	0.216	0.057	1	"3"	"GPR84"	0.316969322690265
"TPT1.PS4"	0.00618960524066793	0.699772576386188	0.098	0.006	1	"3"	"TPT1.PS4"	0.322579194054345
